what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1367596961984
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1367596961984
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1367596961984
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1367596961984
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1367596961984
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1367596961984
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1367596961984
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1367596961985
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1367596961985
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1367596961985
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1367596961985
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1367596961985
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1367596961985
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1367596961985
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1367596961985
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1367596961986
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1367596961986
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1367596961986
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1367596961986
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1367596961986
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1367596961986
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1367596961986
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1367596961986
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1367596961986
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1367596961986
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1367596961986
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1367596961986
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1367596961986
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1367596961986
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1367596961986
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1367596961986
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1367596961986
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1367596961986
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1367596961987
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1367596961987
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1367596961987
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1367596961987
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1367596961987
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1367596961987
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1367596961987
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1367596961987
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1367596961987
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1367596961987
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1367596961987
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1367596961987
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1367596961987
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1367596961987
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1367596961987
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1367596961987
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1367596961987
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1367596961988
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1367596961988
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1367596961988
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1367596961988
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1367596961988
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367596961988
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1367596961988
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367596961988
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1367596961988
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1367596961988
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1367596961988
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1367596961988
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1367596961988
os,sysinfo,,,"win32",1367596961991
arch,sysinfo,,,"x86_64",1367596961991
ws,sysinfo,,,"win32",1367596961991
locale,sysinfo,,,"en_US",1367596961991
processors,sysinfo,,,"4",1367596961991
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367596961991
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1367596961991
java.specification.name,sysinfo,,,"Java Platform API Specification",1367596961991
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367596961991
java.specification.version,sysinfo,,,"1.7",1367596961991
java.vendor,sysinfo,,,"Oracle Corporation",1367596961991
java.version,sysinfo,,,"1.7.0_11",1367596961991
java.vm.info,sysinfo,,,"mixed mode",1367596961991
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1367596961991
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367596961991
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367596961991
java.vm.specification.version,sysinfo,,,"1.7",1367596961991
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367596961991
java.vm.version,sysinfo,,,"23.6-b04",1367596961992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367597803925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367597810463
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1367597816838
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1367597816872
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1367597818717
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1367597818730
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1367597818795
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1367597818799
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1367597818811
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1367597818826
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1367597818848
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1367597818854
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1367597818868
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1367597818889
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1367597819163
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1367597819210
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1367597819230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367597819274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367597819293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1367597819293
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1367597820847
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1367597823278
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1367597823291
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1367597823579
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1367597823718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367597824819
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1367597825580
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1367597825588
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1367597836260
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1367597837419
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1367597838705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598064294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598065068
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1367598123715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598185647
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1367598187806
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1367598187810
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1367598194480
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1367598194675
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1367598194728
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367598194807
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1367598194836
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1367598194837
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1367598194837
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1367598194867
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.4.v201201131116,"org.eclipse.datatools.connectivity.sqm.core",1367598194916
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1367598194920
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1367598194969
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1367598194994
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1367598194998
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1367598195030
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1367598195262
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1367598195299
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1367598195840
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367598197203
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1367598197209
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1367598202085
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367598202182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367598202628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598203126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598204294
error,log,,,"An internal error occurred during: ""Requesting Java AST from selection"".",1367598204349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598204379
error,log,,,"An internal error occurred during: ""Requesting Java AST from selection"".",1367598204398
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1367598204433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598205451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598206987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598208060
error,log,,,"An internal error occurred during: ""Requesting Java AST from selection"".",1367598208102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598208104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598208804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598209739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598210599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598211083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598239390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598241697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598243241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598244663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598244703
error,log,,,"An internal error occurred during: ""Requesting Java AST from selection"".",1367598244706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598245275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598245843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598246950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598246986
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1367598247008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598247585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598253195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598256150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598256923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598258175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598258191
error,log,,,"An internal error occurred during: ""Requesting Java AST from selection"".",1367598258226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598258723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598259579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598260547
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367598260814
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1367598262578
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1367598262842
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1367598262842
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1367598262842
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1367598262842
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1367598262842
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1367598262843
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1367598262843
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1367598262844
